'Course Name','Description','Professor First Name','Professor Last Name'
'Philosophy of Bowling','Exploring the deeper meaning of life through bowling','Michael','Stranger'
'Abstract Rug Art','How rugs tie the room together','Jackie','Treehorn'
'Business Ethics','Navigating the complexities of ransom negotiations','Richard','Brandt'
'Advanced Bowling Techniques','Mastering the art of bowling with flair','Jesus','Quintana'
'Nihilism and Existentialism','The philosophy of nothingness','Michael','Stranger'
'The Art of Negotiation','How to get what you want (or not)','Richard','Brandt'
'Physical Fitness and Dance','Staying fit while looking fabulous','Jesus','Quintana'
'Shomer Shabbos','A deep dive into Shabbos rules','Jesus','Quintana'
'Advanced Henchman Management','Learn how to recruit-train-deploy henchmen effectively','Jackie','Treehorn'
'Marmot Strategies','Tactical deployment of enraged rodents in high-stakes negotiations','Richard','Brandt'
