'First Name','Last Name','Course Name','Enrollment Date'
'Jeffrey','Lebowski','Philosophy of Bowling','2025-01-10'
'Jeffrey','Lebowski','Abstract Rug Art','2025-01-12'
'Jeffrey','Lebowski','Nihilism and Existentialism','2025-01-15'
'Jeffrey','Lebowski','The Art of Negotiation','2025-01-18'
'Walter','Sobchak','Advanced Bowling Techniques','2025-01-11'
'Walter','Sobchak','Shomer Shabbos','2025-01-13'
'Walter','Sobchak','Physical Fitness and Dance','2025-01-16'
'Walter','Sobchak','Advanced Henchman Management','2025-01-20'
'Donny','Kerabatsos','Advanced Bowling Techniques','2025-01-10'
'Donny','Kerabatsos','Philosophy of Bowling','2025-01-14'
'Donny','Kerabatsos','Physical Fitness and Dance','2025-01-19'
'Bunny','Lebowski','Abstract Rug Art','2025-01-12'
'Bunny','Lebowski','Business Ethics','2025-01-15'
'Bunny','Lebowski','The Art of Negotiation','2025-01-21'
'Francis','Donelly','Nihilism and Existentialism','2025-01-11'
'Francis','Donelly','Advanced Henchman Management','2025-01-13'
'Francis','Donelly','Physical Fitness and Dance','2025-01-17'
'Larry','Sellers','Philosophy of Bowling','2025-01-10'
'Larry','Sellers','Advanced Bowling Techniques','2025-01-14'
'Larry','Sellers','Business Ethics','2025-01-18'
'Arthur Digby','Sellers','Abstract Rug Art','2025-01-12'
'Arthur Digby','Sellers','Nihilism and Existentialism','2025-01-16'
'Arthur Digby','Sellers','The Art of Negotiation','2025-01-20'
'Uli','Kunkel','Philosophy of Bowling','2025-01-10'
'Uli','Kunkel','Advanced Henchman Management','2025-01-13'
'Uli','Kunkel','Shomer Shabbos','2025-01-17'
'Karl','Hungus','Nihilism and Existentialism','2025-01-11'
'Karl','Hungus','Business Ethics','2025-01-15'
'Karl','Hungus','Physical Fitness and Dance','2025-01-19'
'Jim','Smokey','Advanced Bowling Techniques','2025-01-10'
'Jim','Smokey','Shomer Shabbos','2025-01-14'
'Jim','Smokey','The Art of Negotiation','2025-01-18'
'Maude','Lebowski','Abstract Rug Art','2025-01-12'
'Maude','Lebowski','Business Ethics','2025-01-16'
'Maude','Lebowski','Advanced Henchman Management','2025-01-21'
