'First Name','Last Name','Email','School Enrollment Date'
'Jeffrey','Lebowski','thedude@marmot.edu','2024-09-01'
'Walter','Sobchak','sobchakw@marmot.edu','2024-09-01'
'Donny','Kerabatsos','kerabatsosd@marmot.edu','2024-09-01'
'Bunny','Lebowski','lebowskib@marmot.edu','2025-01-10'
'Francis','Donelly','donellyf@marmot.edu','2024-09-01'
'Larry','Sellers','sellersl@marmot.edu','2025-01-10'
'Arthur Digby','Sellers','sellersa@marmot.edu','2025-01-10'
'Uli','Kunkel','kunkelu@marmot.edu','2024-09-01'
'Karl','Hungus','hungusk@marmot.edu','2024-09-01'
'Jim','Smokey','smokeyj@marmot.edu','2024-09-01'
'Maude','Lebowski','lebowskim@marmot.edu','2025-01-10'
